상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,지번주소,경도,위도
트라이코인터내셔날,,소매,의복의류,셔츠/내의/속옷,,서울특별시 송파구 문정동 516,127.124941,37.47760822
그린앤코인테리어,,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,그외 기타 분류안된 가정용품 소매업,서울특별시 동작구 상도1동 775-1,126.9485541,37.50252596
코인코즈,롯데잠실월드몰점,소매,의복의류,여성의류전문점,,서울특별시 송파구 신천동 29,127.1042839,37.51363101
24시코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 종로구 혜화동 180,127.0019098,37.58349735
예스코인터넷,,생활서비스,세탁/가사서비스,청소/소독,,서울특별시 성동구 용답동 249-8,127.0569097,37.56042328
코인21,,소매,종합소매점,종합소매,그외 기타 종합 소매업,서울특별시 중구 을지로4가 9-6,126.9954383,37.5671336
와라코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 서대문구 대현동 34-35,126.9441468,37.55926144
코인코즈,현대백화점신촌점,소매,의복의류,여성의류전문점,,서울특별시 서대문구 창천동 30-33,126.9358278,37.55606915
코인노래,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 관악구 신림동 1640-32,126.9287849,37.48348939
코인노래연습장노량진점,노량진점,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 동작구 노량진동 97-1,126.9436004,37.51296094
와라코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 성동구 행당동 19-108,127.0404263,37.55892087
데코인테리어,,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,그외 기타 분류안된 가정용품 소매업,서울특별시 서초구 우면동 67,127.0252427,37.47150253
리코스타코인노래연습장,한양대2호점,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 성동구 행당동 19-49,127.0404605,37.55977715
악쓰는하마코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 강남구 역삼동 619-26,127.0272584,37.5008936
와라코인명물거리노래방,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 서대문구 창천동 31-86,126.9382055,37.55839722
슈퍼밴드코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 동작구 노량진동 114-5,126.9439449,37.51339653
악쓰는하마코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 성북구 동선동1가 102,127.0177451,37.59245138
와라코인노래연습장,,관광/여가/오락,무도/유흥/가무,노래방,노래연습장 운영업,서울특별시 은평구 갈현동 400-4,126.9188825,37.61963632
비앤티코인테리어디자인,,소매,가정/주방/인테리어,인테리어/욕실용품/커튼,그외 기타 분류안된 가정용품 소매업,서울특별시 송파구 방이동 112-1,127.1141099,37.51108304
