광역시도,행정구역,주소,shortName,x,y,유치원_정원_수,유치원_보육교직원_수,유치원_보육실_수,놀이터_수,유치원_CCTV설치_수,스쿨버스_운영비율,0~7세 인구수
충청남도,서천군,충청남도 서천군,서천,2,13,65.16666667,9.708333333,5.75,0.916666667,11.16666667,0.958333333,2004
충청남도,아산시,충청남도 아산시,아산,3,9,42.06606943,7.161254199,0,0,0,0.240761478,28857
충청남도,예산군,충청남도 예산군,예산,3,10,61.20689655,9.793103448,5.75862069,1,10.55172414,0.827586207,3048
충청남도,천안시,충청남도 천안시,천안,4,9,37.76710335,7.014556041,4.585152838,0.320232897,2.257641921,0.33915575,52370
충청남도,청양군,충청남도 청양군,청양,3,11,42.86666667,7.6,3.8,1,6.066666667,1,1109
충청남도,태안군,충청남도 태안군,태안,1,9,67.96,11.84,6,0.92,10.2,0.7,2678
충청남도,홍성군,충청남도 홍성군,홍성,2,10,51.61864407,9.152542373,4.867924528,0.754716981,6.981132075,0.737288136,6506
충청북도,괴산군,충청북도 괴산군,괴산,7,11,66.61538462,9.384615385,5.769230769,0.692307692,7.384615385,0.846153846,1099
충청북도,단양군,충청북도 단양군,단양,7,10,68.21428571,11.21428571,5.5,0.214285714,7.285714286,0.785714286,1054
충청북도,보은군,충청북도 보은군,보은,7,12,65.55555556,9.666666667,5,0.777777778,7.666666667,0.888888889,1359
충청북도,영동군,충청북도 영동군,영동,6,14,69.8125,10.9375,5.75,0.75,7.125,0.9375,2088
충청북도,옥천군,충청북도 옥천군,옥천,6,13,51.79166667,8.125,5.375,0.826086957,8.833333333,0.916666667,2190
충청북도,음성군,충청북도 음성군,음성,5,10,55.95652174,8.637681159,5.130434783,0.405797101,1,0.84057971,5458
충청북도,제천시,충청북도 제천시,제천,8,10,56.7260274,9.260273973,4.97260274,0.771428571,5,0.835616438,7548
충청북도,증평군,충청북도 증평군,증평,6,11,72.875,11.70833333,5.708333333,1,9.5,0.791666667,2930
충청북도,진천군,충청북도 진천군,진천,5,11,69.05660377,10.83018868,5.452830189,0.509433962,8.339622642,0.867924528,6024
충청북도,청주시,충청북도 청주시,청주,6,12,96.52941176,12.60294118,6.661764706,0.911764706,10.42647059,0.808823529,62430
충청북도,충주시,충청북도 충주시,충주,6,10,55.4,9.007407407,5.148148148,0.918518519,7.474074074,0.807407407,12105
